"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",131.873521891698,
"POL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",134.02590554361,
"POL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",137.276199451994,
"POL","HOUSECOST","RENT","IDX2015","Q","2019-Q2",112.788736543045,
"POL","HOUSECOST","RENT","IDX2015","Q","2019-Q3",114.410339279848,
"POL","HOUSECOST","RENT","IDX2015","Q","2019-Q4",115.963702607991,
"POL","HOUSECOST","RENT","IDX2015","Q","2020-Q1",118.662869274775,
"POL","HOUSECOST","RENT","IDX2015","Q","2020-Q2",119.375477660528,
"POL","HOUSECOST","RENT","IDX2015","Q","2020-Q3",120.394478368955,
"POL","HOUSECOST","RENT","IDX2015","Q","2020-Q4",121.017886686875,
"POL","HOUSECOST","RENT","IDX2015","Q","2021-Q1",121.643242546754,
"PRT","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",140.500314877855,
"PRT","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",143.157360244482,
"PRT","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",145.294445857311,
"PRT","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",150.863785707861,
"PRT","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",151.427571681361,
"PRT","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",153.38893882643,
"PRT","HOUSECOST","RENT","IDX2015","Q","2019-Q2",107.529666555674,
"PRT","HOUSECOST","RENT","IDX2015","Q","2019-Q3",108.472058721549,
"PRT","HOUSECOST","RENT","IDX2015","Q","2019-Q4",109.329349904551,
"PRT","HOUSECOST","RENT","IDX2015","Q","2020-Q1",110.101024577071,
"PRT","HOUSECOST","RENT","IDX2015","Q","2020-Q2",110.461379117281,
"PRT","HOUSECOST","RENT","IDX2015","Q","2020-Q3",110.944023836506,
"PRT","HOUSECOST","RENT","IDX2015","Q","2020-Q4",111.539691242132,
"PRT","HOUSECOST","RENT","IDX2015","Q","2021-Q1",111.849769950172,
"SVK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",130.49630166276,
"SVK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",134.636919596571,
